Date,Hour,PM2_MIN,PM2_MAX,PM2_MOY
2019-08-28,00,400,400,400
2019-08-28,01,400,400,400
2019-08-28,02,400,400,400
2019-08-28,03,400,400,400
2019-08-28,04,400,400,400
2019-08-28,05,400,400,400
2019-08-28,06,400,400,400
2019-08-28,07,5,6,5
2019-08-28,08,5,6,5
2019-08-28,09,5,6,5
2019-08-28,10,5,6,5
2019-08-28,11,5,6,5
2019-08-28,12,5,6,5
2019-08-28,13,5,6,5
2019-08-28,14,5,6,5
2019-08-28,15,5,6,5
2019-08-28,16,5,6,5
2019-08-28,17,5,6,5
2019-08-28,18,5,6,5
2019-08-28,19,5,6,5
2019-08-28,20,5,6,5
2019-08-28,21,5,6,5
2019-08-28,22,5,6,5
2019-08-28,23,5,6,5
2019-08-29,00,5,6,5
2019-08-29,01,5,6,5
2019-08-29,02,5,6,5
2019-08-29,03,5,6,5
2019-08-29,04,5,6,5
2019-08-29,05,5,6,5
2019-08-29,06,5,6,5
2019-08-29,07,5,6,5
2019-08-29,08,5,6,5
2019-08-29,09,5,6,5
2019-08-29,10,5,6,5
2019-08-29,11,5,6,5
2019-08-29,12,5,6,5
2019-08-29,13,5,6,5
2019-08-29,14,5,6,5
2019-08-29,15,5,6,5
2019-08-29,16,5,6,5
2019-08-29,17,5,5,5
2019-08-29,18,4,5,4
2019-08-29,19,4,5,4
2019-08-29,20,4,5,4
2019-08-29,21,4,5,4
2019-08-29,22,4,5,4
2019-08-29,23,4,5,4
2019-08-30,00,4,5,4
2019-08-30,01,4,5,4
2019-08-30,02,4,5,4
2019-08-30,03,4,5,4
2019-08-30,04,4,5,4
2019-08-30,05,4,5,4
2019-08-30,06,4,5,4
2019-08-30,07,3,5,4
2019-08-30,08,3,5,4
2019-08-30,09,3,5,4
2019-08-30,10,3,5,4
2019-08-30,11,3,5,4
2019-08-30,12,3,5,4
2019-08-30,13,3,5,4
2019-08-30,14,3,5,4
2019-08-30,15,3,5,4
2019-08-30,16,3,5,4
2019-08-30,17,3,4,3
2019-08-30,18,2,4,3
2019-08-30,19,2,4,3
2019-08-30,20,2,4,3
2019-08-30,21,2,4,3
2019-08-30,22,2,4,3
2019-08-30,23,2,4,3
2019-08-31,00,2,4,3
2019-08-31,01,2,4,3
2019-08-31,02,2,4,3
2019-08-31,03,2,4,3
2019-08-31,04,2,4,3
2019-08-31,05,2,4,3
2019-08-31,06,2,3,2
2019-08-31,07,2,3,2
2019-08-31,08,2,3,2
2019-08-31,09,2,3,2
2019-08-31,10,2,3,2
2019-08-31,11,2,3,2
2019-08-31,12,2,3,2
2019-08-31,13,2,3,2
2019-08-31,14,2,3,2
2019-08-31,15,2,3,2
2019-08-31,16,2,3,2
2019-08-31,17,2,2,2
2019-08-31,18,2,2,2
2019-08-31,19,2,2,2
2019-08-31,20,2,2,2
2019-08-31,21,2,2,2
2019-08-31,22,2,2,2
2019-08-31,23,2,2,2
2019-09-01,00,2,2,2
2019-09-01,01,2,2,2
2019-09-01,02,2,2,2
2019-09-01,03,2,2,2
2019-09-01,04,2,2,2
2019-09-01,05,2,2,2
2019-09-01,06,2,2,2
2019-09-01,07,2,2,2
2019-09-01,08,2,2,2
2019-09-01,09,2,2,2
2019-09-01,10,2,2,2
2019-09-01,11,2,2,2
2019-09-01,12,2,2,2
2019-09-01,13,2,2,2
2019-09-01,14,2,2,2
2019-09-01,15,1,2,1
2019-09-01,16,1,2,1
2019-09-01,17,1,2,1
2019-09-01,18,1,2,1
2019-09-01,19,400,400,400
2019-09-01,20,1,2,1
2019-09-01,21,1,2,1
2019-09-01,22,1,2,1
2019-09-01,23,1,2,1
2019-09-02,00,1,2,1
2019-09-02,01,1,2,1
2019-09-02,02,1,2,1
2019-09-02,03,1,2,1
2019-09-02,04,1,2,1
2019-09-02,05,1,2,1
2019-09-02,06,1,2,1
2019-09-02,07,400,400,400
2019-09-02,08,400,400,400
2019-09-02,09,400,400,400
2019-09-02,10,400,400,400
2019-09-02,11,400,400,400
2019-09-02,12,400,400,400
2019-09-02,13,400,400,400
2019-09-02,14,400,400,400
2019-09-02,15,400,400,400
2019-09-02,16,400,400,400
2019-09-02,17,400,400,400
2019-09-02,18,400,400,400
2019-09-02,19,400,400,400
2019-09-02,20,400,400,400
2019-09-02,21,400,400,400
2019-09-02,22,400,400,400
2019-09-02,23,400,400,400
2019-09-03,00,400,400,400
2019-09-03,01,400,400,400
2019-09-03,02,400,400,400
2019-09-03,03,400,400,400
2019-09-03,04,400,400,400
2019-09-03,05,2,5,3
2019-09-03,06,2,5,3
2019-09-03,07,1,5,3
2019-09-03,08,1,5,3
2019-09-03,09,1,5,3
2019-09-03,10,1,5,3
2019-09-03,11,1,5,3
2019-09-03,12,1,5,3
2019-09-03,13,1,5,3
2019-09-03,14,1,5,3
2019-09-03,15,1,5,3
2019-09-03,16,1,5,3
2019-09-03,17,1,5,3
2019-09-03,18,1,5,3
2019-09-03,19,1,5,3
2019-09-03,20,400,400,400
2019-09-03,21,400,400,400
2019-09-03,22,1,5,3
2019-09-03,23,1,5,3
2019-09-04,00,1,5,3
2019-09-04,01,1,5,3
2019-09-04,02,1,5,3
2019-09-04,03,1,5,3
2019-09-04,04,1,4,2
2019-09-04,05,1,4,2
2019-09-04,06,1,3,2
2019-09-04,07,1,2,1
2019-09-04,08,1,2,1
2019-09-04,09,1,2,1
2019-09-04,10,1,2,1
2019-09-04,11,1,2,1
2019-09-04,12,1,2,1
2019-09-04,13,1,2,1
2019-09-04,14,1,2,1
2019-09-04,15,1,2,1
2019-09-04,16,1,2,1
2019-09-04,17,1,2,1
2019-09-04,18,1,2,1
2019-09-04,19,1,2,1
2019-09-04,20,1,2,1
2019-09-04,21,0,2,1
2019-09-04,22,0,2,1
2019-09-04,23,0,2,1
2019-09-05,00,0,2,1
2019-09-05,01,0,2,1
2019-09-05,02,0,2,1
2019-09-05,03,0,2,1
2019-09-05,04,0,1,0
2019-09-05,05,0,1,0
2019-09-05,06,0,1,0
2019-09-05,07,0,1,0
2019-09-05,08,0,1,0
2019-09-05,09,0,1,0
2019-09-05,10,0,1,0
2019-09-05,11,0,1,0
2019-09-05,12,0,1,0
2019-09-05,13,0,1,0
2019-09-05,14,0,1,0
2019-09-05,15,0,1,0
2019-09-05,16,0,1,0
2019-09-05,17,0,1,0
2019-09-05,18,400,400,400
2019-09-05,19,0,1,0
2019-09-05,20,0,1,0
2019-09-05,21,0,1,0
2019-09-05,22,0,1,0
2019-09-05,23,0,1,0
2019-09-06,00,0,1,0
2019-09-06,01,0,1,0
2019-09-06,02,0,1,0
2019-09-06,03,0,1,0
2019-09-06,04,0,1,0
2019-09-06,05,1,1,1
2019-09-06,06,1,1,1
2019-09-06,07,1,1,1
2019-09-06,08,1,1,1
2019-09-06,09,1,1,1
2019-09-06,10,1,1,1
2019-09-06,11,1,1,1
2019-09-06,12,1,1,1
2019-09-06,13,1,1,1
2019-09-06,14,1,1,1
2019-09-06,15,1,1,1
2019-09-06,16,1,1,1
2019-09-06,17,1,1,1
2019-09-06,18,1,1,1
2019-09-06,19,1,1,1
2019-09-06,20,1,1,1
2019-09-06,21,1,1,1
2019-09-06,22,1,1,1
2019-09-06,23,1,1,1
2019-09-07,00,1,1,1
2019-09-07,01,1,1,1
2019-09-07,02,1,1,1
2019-09-07,03,1,1,1
2019-09-07,04,1,1,1
2019-09-07,05,1,1,1
2019-09-07,06,1,1,1
2019-09-07,07,1,1,1
2019-09-07,08,1,1,1
2019-09-07,09,1,1,1
2019-09-07,10,1,1,1
2019-09-07,11,1,1,1
2019-09-07,12,1,1,1
2019-09-07,13,1,1,1
2019-09-07,14,1,1,1
2019-09-07,15,0,1,0
2019-09-07,16,0,1,0
2019-09-07,17,0,1,0
2019-09-07,18,0,1,0
2019-09-07,19,0,1,0
2019-09-07,20,0,1,0
2019-09-07,21,0,1,0
2019-09-07,22,0,1,0
2019-09-07,23,0,1,0
2019-09-08,00,0,1,0
2019-09-08,01,0,1,0
2019-09-08,02,0,1,0
2019-09-08,03,0,1,0
2019-09-08,04,0,1,0
2019-09-08,05,0,1,0
2019-09-08,06,0,1,0
2019-09-08,07,0,1,0
2019-09-08,08,0,1,0
2019-09-08,09,0,1,0
2019-09-08,10,0,1,0
2019-09-08,11,0,1,0
2019-09-08,12,0,1,0
2019-09-08,13,0,1,0
2019-09-08,14,0,1,0
2019-09-08,15,0,1,0
2019-09-08,16,0,1,0
2019-09-08,17,0,1,0
2019-09-08,18,0,1,0
2019-09-08,19,0,1,0
2019-09-08,20,0,1,0
2019-09-08,21,0,1,0
2019-09-08,22,1,1,1
2019-09-08,23,1,1,1
2019-09-09,00,1,2,1
2019-09-09,01,1,2,1
2019-09-09,02,1,2,1
2019-09-09,03,1,2,1
2019-09-09,04,1,2,1
2019-09-09,05,1,2,1
2019-09-09,06,1,2,1
2019-09-09,07,1,2,1
2019-09-09,08,1,2,1
2019-09-09,09,1,2,1
2019-09-09,10,1,2,1
2019-09-09,11,1,2,1
2019-09-09,12,1,2,1
